datetime,hour,day_of_week,is_weekend,peak_period,temp_c,rh_pct,rain_mm,sunshine_sec,shortwave_wm2,wind_speed_ms,temp_bin,spike_flag,compound_highTemp_lowSolar_peakHour,RRP_lag_1h,RRP_lag_12h,RRP_lag_24h,TOTALDEMAND_lag_1h,TOTALDEMAND_lag_12h,TOTALDEMAND_lag_24h,RRP_rolling_3h,RRP_rolling_6h,RRP_rolling_24h,TOTALDEMAND_rolling_3h,TOTALDEMAND_rolling_6h,TOTALDEMAND_rolling_24h,region,forecast_price,forecast_demand
2025-09-11 00:30:00+00:00,0,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,46.15372437053479,8073.016105426154
2025-09-11 01:00:00+00:00,1,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,66.6904208790433,4974.867122092291
2025-09-11 01:30:00+00:00,1,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,56.3082479956047,4756.284249686879
2025-09-11 02:00:00+00:00,2,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,64.26010225311266,4971.683619465475
2025-09-11 02:30:00+00:00,2,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,68.78794502911254,4714.84335587782
2025-09-11 03:00:00+00:00,3,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,80.77967727768828,5116.029262574815
2025-09-11 03:30:00+00:00,3,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,59.05063801663129,4669.842824456461
2025-09-11 04:00:00+00:00,4,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,56.57400966202463,4685.930764693779
2025-09-11 04:30:00+00:00,4,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,68.46296571986238,5084.389195349256
2025-09-11 05:00:00+00:00,5,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,65.41213370590553,4926.563953915152
2025-09-11 05:30:00+00:00,5,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,49.50418317472876,5003.813626503613
2025-09-11 06:00:00+00:00,6,3,0,shoulder,,,,,,,,,,,,,,,,,,,,,,NSW1,64.49335649234557,7948.401775982118
2025-09-11 06:30:00+00:00,6,3,0,shoulder,,,,,,,,,,,,,,,,,,,,,,NSW1,60.197670604428666,8448.638450879775
2025-09-11 07:00:00+00:00,7,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,146.75994831863377,10989.915951355159
2025-09-11 07:30:00+00:00,7,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,157.44315453242203,11052.595139648358
2025-09-11 08:00:00+00:00,8,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,230.33838853200592,11887.198698980976
2025-09-11 08:30:00+00:00,8,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,137.12834445333033,10930.337843842983
2025-09-11 09:00:00+00:00,9,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,207.4531935399226,9622.624841838402
2025-09-11 09:30:00+00:00,9,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,187.76993421234263,11125.702417960783
2025-09-11 10:00:00+00:00,10,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,76.94765393746958,9131.797529140373
2025-09-11 10:30:00+00:00,10,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,55.19751927043396,7984.011220536969
2025-09-11 11:00:00+00:00,11,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,73.10132796792584,7351.9960496510275
2025-09-11 11:30:00+00:00,11,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,55.6972926813937,8343.699979194378
2025-09-11 12:00:00+00:00,12,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,62.82894658966932,7936.380182535899
2025-09-11 12:30:00+00:00,12,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,55.17526379824324,7816.169102644975
2025-09-11 13:00:00+00:00,13,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,68.81041611969336,7640.329988229957
2025-09-11 13:30:00+00:00,13,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,54.99147466897765,8321.33760214359
2025-09-11 14:00:00+00:00,14,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,66.77367830187181,8673.613051778473
2025-09-11 14:30:00+00:00,14,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,60.450667449720555,7334.130418307332
2025-09-11 15:00:00+00:00,15,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,63.21967222824647,7961.295824295196
2025-09-11 15:30:00+00:00,15,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,63.150000419803014,6714.898432137676
2025-09-11 16:00:00+00:00,16,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,54.467098035474045,8278.527410830035
2025-09-11 16:30:00+00:00,16,3,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,58.74571691800106,8463.03547582156
2025-09-11 17:00:00+00:00,17,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,148.16994322939019,9708.874635390686
2025-09-11 17:30:00+00:00,17,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,157.20210860199967,9858.305549202452
2025-09-11 18:00:00+00:00,18,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,150.23300519470814,11609.72729020982
2025-09-11 18:30:00+00:00,18,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,207.4472137853519,10656.854481837741
2025-09-11 19:00:00+00:00,19,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,174.9899678232667,10468.929683547098
2025-09-11 19:30:00+00:00,19,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,209.7777939096785,10651.51336523925
2025-09-11 20:00:00+00:00,20,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,161.22185241738595,10342.080092670923
2025-09-11 20:30:00+00:00,20,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,177.25097788970547,11250.38057639724
2025-09-11 21:00:00+00:00,21,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,168.7698787896277,10604.8823326405
2025-09-11 21:30:00+00:00,21,3,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,171.2688450461449,9890.000635457172
2025-09-11 22:00:00+00:00,22,3,0,shoulder,,,,,,,,,,,,,,,,,,,,,,NSW1,76.5697768729693,8213.83553979892
2025-09-11 22:30:00+00:00,22,3,0,shoulder,,,,,,,,,,,,,,,,,,,,,,NSW1,72.38985973910034,8474.236150225963
2025-09-11 23:00:00+00:00,23,3,0,shoulder,,,,,,,,,,,,,,,,,,,,,,NSW1,63.970002200643236,8684.954200408507
2025-09-11 23:30:00+00:00,23,3,0,shoulder,,,,,,,,,,,,,,,,,,,,,,NSW1,72.4028839359438,7849.700213328784
2025-09-12 00:00:00+00:00,0,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,67.07602799229419,7865.91819086734
2025-09-12 00:30:00+00:00,0,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,67.60744728594712,7919.445836962194
2025-09-12 01:00:00+00:00,1,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,51.99307762419941,4665.457511510926
2025-09-12 01:30:00+00:00,1,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,62.574397977952046,5028.877486929169
2025-09-12 02:00:00+00:00,2,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,59.17846406199734,4687.805907139491
2025-09-12 02:30:00+00:00,2,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,82.86918922193703,4814.8088898674105
2025-09-12 03:00:00+00:00,3,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,67.93053642767954,5125.498086117789
2025-09-12 03:30:00+00:00,3,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,62.15078554245724,4980.496094694072
2025-09-12 04:00:00+00:00,4,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,66.59035712875063,5291.220036973418
2025-09-12 04:30:00+00:00,4,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,66.75042688826736,5330.95094376449
2025-09-12 05:00:00+00:00,5,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,57.38256031789637,4909.530480795846
2025-09-12 05:30:00+00:00,5,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,59.6567682750559,5681.05843135096
2025-09-12 06:00:00+00:00,6,4,0,shoulder,,,,,,,,,,,,,,,,,,,,,,NSW1,74.1034515453749,7426.51608196693
2025-09-12 06:30:00+00:00,6,4,0,shoulder,,,,,,,,,,,,,,,,,,,,,,NSW1,64.14816521401838,8898.905169924057
2025-09-12 07:00:00+00:00,7,4,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,163.27422419168315,9999.464358398825
2025-09-12 07:30:00+00:00,7,4,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,190.76502985535194,9743.494830165679
2025-09-12 08:00:00+00:00,8,4,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,149.04841460170545,11197.787809653764
2025-09-12 08:30:00+00:00,8,4,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,236.29357149861627,10473.896564495135
2025-09-12 09:00:00+00:00,9,4,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,232.2433842224197,11537.099048944836
2025-09-12 09:30:00+00:00,9,4,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,142.33082424997824,10510.174133138835
2025-09-12 10:00:00+00:00,10,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,57.2694909086392,8896.524271959364
2025-09-12 10:30:00+00:00,10,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,53.99366470278547,7322.368042414548
2025-09-12 11:00:00+00:00,11,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,59.39357382919294,7391.063914925688
2025-09-12 11:30:00+00:00,11,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,54.49608803664837,7225.544869729003
2025-09-12 12:00:00+00:00,12,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,60.021090245309956,8136.190277009928
2025-09-12 12:30:00+00:00,12,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,66.81862100277976,8057.299965304639
2025-09-12 13:00:00+00:00,13,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,45.008349031647995,9113.573229351145
2025-09-12 13:30:00+00:00,13,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,68.62074657221656,7951.306626047069
2025-09-12 14:00:00+00:00,14,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,72.29525857425186,7831.338048563103
2025-09-12 14:30:00+00:00,14,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,73.60706837313516,7671.797420339513
2025-09-12 15:00:00+00:00,15,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,60.438994169590835,7330.9309199686095
2025-09-12 15:30:00+00:00,15,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,74.11178244730944,8432.31903812412
2025-09-12 16:00:00+00:00,16,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,63.34396326055152,8356.510876115392
2025-09-12 16:30:00+00:00,16,4,0,other,,,,,,,,,,,,,,,,,,,,,,NSW1,75.79637117215168,8141.776441183913
2025-09-12 17:00:00+00:00,17,4,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,122.68070935717232,10697.498085237425
2025-09-12 17:30:00+00:00,17,4,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,192.49924084206143,11405.536349366264
2025-09-12 18:00:00+00:00,18,4,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,205.3641636967248,10223.660871655722
2025-09-12 18:30:00+00:00,18,4,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,168.19478037731113,11087.553720632448
2025-09-12 19:00:00+00:00,19,4,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,158.96634428092992,9340.404082134466
2025-09-12 19:30:00+00:00,19,4,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,165.82965399731393,10578.910163450408
2025-09-12 20:00:00+00:00,20,4,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,188.30202502853456,9616.36807914229
2025-09-12 20:30:00+00:00,20,4,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,204.9434862062756,10459.659399040618
2025-09-12 21:00:00+00:00,21,4,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,186.98018589247363,8174.945247930321
2025-09-12 21:30:00+00:00,21,4,0,peak,,,,,,,,,,,,,,,,,,,,,,NSW1,126.38909147114025,9860.99989407527
2025-09-12 22:00:00+00:00,22,4,0,shoulder,,,,,,,,,,,,,,,,,,,,,,NSW1,50.61033668938451,8613.717316729677
2025-09-12 22:30:00+00:00,22,4,0,shoulder,,,,,,,,,,,,,,,,,,,,,,NSW1,74.27769883453593,8160.127497167463
2025-09-12 23:00:00+00:00,23,4,0,shoulder,,,,,,,,,,,,,,,,,,,,,,NSW1,69.80840981691534,7728.919848430411
2025-09-12 23:30:00+00:00,23,4,0,shoulder,,,,,,,,,,,,,,,,,,,,,,NSW1,71.74894921617734,7841.545525718368
2025-09-13 00:00:00+00:00,0,5,1,other,,,,,,,,,,,,,,,,,,,,,,NSW1,43.09798876470193,7423.079468796837
2025-09-13 00:30:00+00:00,0,5,1,other,,,,,,,,,,,,,,,,,,,,,,NSW1,56.55672557167924,6929.206653706422
2025-09-13 01:00:00+00:00,1,5,1,other,,,,,,,,,,,,,,,,,,,,,,NSW1,58.82334786978425,4060.658060235653
2025-09-13 01:30:00+00:00,1,5,1,other,,,,,,,,,,,,,,,,,,,,,,NSW1,57.14459156464768,4904.875670007315
2025-09-13 02:00:00+00:00,2,5,1,other,,,,,,,,,,,,,,,,,,,,,,NSW1,46.47759053824778,4033.5577594322563
2025-09-13 02:30:00+00:00,2,5,1,other,,,,,,,,,,,,,,,,,,,,,,NSW1,44.463268558698005,4657.565886158067
2025-09-13 03:00:00+00:00,3,5,1,other,,,,,,,,,,,,,,,,,,,,,,NSW1,47.52347696900818,3886.0343469595996
2025-09-13 03:30:00+00:00,3,5,1,other,,,,,,,,,,,,,,,,,,,,,,NSW1,59.036655648238096,3626.2320657005066
2025-09-13 04:00:00+00:00,4,5,1,other,,,,,,,,,,,,,,,,,,,,,,NSW1,54.702947843986664,3808.8736664173352
2025-09-13 04:30:00+00:00,4,5,1,other,,,,,,,,,,,,,,,,,,,,,,NSW1,36.80538694908301,3989.137000020428
2025-09-13 05:00:00+00:00,5,5,1,other,,,,,,,,,,,,,,,,,,,,,,NSW1,51.88985861458453,4016.5761030076524
